Headline,Description,Last Updated,Category,Image URL,Article Link
Rod Stewart to play Glastonbury's legends slot,"The Scottish rock star will follow in the footsteps of Kylie Minogue, Dolly Parton and Shania Twain.",22 hrs ago,Somerset,https://example.com/no-image.png,https://www.bbc.com/news/articles/cwy1zv753v2o
MrBeast says game show allegations 'blown out of proportion',Beast Games is set to stream next month amid allegations contestants were mistreated on set.,19 hrs ago,Newsbeat,,https://www.bbc.com/news/articles/c5yxnddeyl0o
Russia confirms capture of British man accused of fighting for Ukraine,"James Scott Rhys Anderson is held in custody for taking part ""in armed hostilities"".",17 hrs ago,Europe,,https://www.bbc.com/news/articles/cnvj0yjqd3go
Drake takes legal action over Kendrick Lamar’s Not Like Us,"Rapper says Universal Music conspired to boost popularity of Lamar’s diss track, which label denies.",15 hrs ago,Culture,https://example.com/no-image.png,https://www.bbc.com/news/articles/cje08q8qnzqo
LinkedIn: We're too boring for kids for social media ban,It is one of a number of tech firms pushing back against Australia's plan to ban social media for under-16s.,17 hrs ago,Technology,https://example.com/no-image.png,https://www.bbc.com/news/articles/cx2dz2z72y8o
Dad of missing Hannah Kobayashi found dead in LA,,,,,https://www.bbc.com/news/articles/ckgvxyrj8k5o
Mother of child hidden in drawer from birth jailed,,,,,https://www.bbc.com/news/articles/c4gz1dv8ly2o
"'Fragile, frail & weak' - Man City's defensive woes continue","Pep Guardiola says his Man City side are ""fragile"", while they are also labelled ""weak"" and ""frail"" after surrendering a 3-0 Champions League lead against Feyenoord at Etihad Stadium.",6 hrs ago,Man City,https://example.com/no-image.png,https://www.bbc.com/sport/football/articles/c1e7x69eew5o
'Where we belong' - Saka stars as Arsenal thrash Sporting,Arsenal get back to winning ways in the Champions League with a commanding victory over Sporting at Estadio Jose Alvalade.,,,https://example.com/no-image.png,https://www.bbc.comN/A
Inter Milan go top with narrow win over RB Leipzig,Inter Milan win their fourth Champions League game in a row with a narrow victory over winless RB Leipzig.,,,https://example.com/no-image.png,https://www.bbc.comN/A
Lewandowski nets 100th Champions League goal in Barca win,Robert Lewandowski becomes the third player to score 100 Champions League goals as Barcelona overcome Brest in a dominant display.,,,,https://www.bbc.comN/A
Hill's traffic ticket dropped after police detainment,Miami Dolphins star Tyreek Hill had his case dismissed after the officer failed to show in court.,7 hrs ago,US & Canada,,https://www.bbc.com/news/articles/c4gz14q32gxo
'We know what we're doing' - Stokes on Bethell,"England captain Ben Stokes says he understands if the decision to bat Jacob Bethell at number three ""does raise a few eyebrows"", but insists ""we're not picking people just to wind people up"".",12 hrs ago,Cricket,https://example.com/no-image.png,https://www.bbc.com/sport/cricket/articles/cp8x00d75vdo
'Ruined himself' - the startling decline of Labuschagne,"After Marnus Labuschagne's failures in the first Test with India, BBC Sport examines his slump and the issues with Australia's other batters.",17 hrs ago,Cricket,https://example.com/no-image.png,https://www.bbc.com/sport/cricket/articles/cvg0yv23w9vo
